code,name,account_type,parent_code
1000,Cash,asset,
1010,Bank - NMB Main Account,asset,
1020,Petty Cash,asset,
1100,Accounts Receivable,asset,
1200,Inventory - Clothing,asset,
1300,Prepaid Expenses,asset,
2000,Accounts Payable,liability,
2100,VAT Payable (18%),liability,
2200,Loan - NMB Short Term,liability,
2300,CRDB Long Term Loan,liability,
3000,Owner's Capital,equity,
3100,Retained Earnings,equity,
3200,Owner's Drawings,equity,
4000,Sales Revenue - Clothing,revenue,
4100,Sales Revenue - Accessories,revenue,
4200,Other Income,revenue,
5000,Cost of Goods Sold,expense,
5100,Rent Expense,expense,
5200,Utilities (TANESCO/DAWASCO),expense,
5300,Salary & Wages,expense,
5400,Transport & Delivery,expense,
5500,Office Supplies,expense,
5600,Marketing & Advertising,expense,
5700,Insurance,expense,
5800,Telephone & Internet,expense,
5900,Bank & M-Pesa Charges,expense,
6000,Depreciation,expense,
6100,Government Fees & Licences,expense,
6200,Maintenance & Repairs,expense,
6300,Security Services,expense,
